Ort,AGS,Tablets je 100 Schüler,Aussage Tablets,Laptops je 100 Schüler,Aussage L,Desktoprechner je 100 Schüler,Aussage D,Whiteboards je 100 Schüler,Aussage W,Ausgaben je Schüler,Aussage A,Mittelwert NRW Tablets,Mittelwert NRW Laptops,Mittelwert NRW Desktop,Mittelwert NRW Whiteboards,Mittelwert NRW Ausgaben,Anzahl_Schüler,Bemerkungen
Dinslaken,5170008,"3,4",⬇,"1,5",⬇,"10,8",⬆,"1,2",⬇,37,⬇,"7,8","3,3","10,4","1,2","57,2",6757,
Dörentrup,5766024,"37,5",⬆,"1,7",⬇,"25,8",⬆,"2,9",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",240,
Dormagen,5162004,"11,7",⬆,"0,9",⬇,"5,5",⬇,"1,5",⬆,"18,1",⬇,"7,8","3,3","10,4","1,2","57,2",6632,
Dorsten,5562012,"0,8",⬇,"1,3",⬇,0,⬇,1,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",5946,
Dortmund,5913000,10,⬆,"2,9",⬇,13,⬆,"3,1",⬆,"82,2",⬆,"7,8","3,3","10,4","1,2","57,2",56377,
Drolshagen,5966008,"12,4",⬆,1,⬇,"7,7",⬇,"0,4",⬇,"82,3",⬆,"7,8","3,3","10,4","1,2","57,2",813,
Duisburg,5112000,0,⬇,0,⬇,"17,5",⬆,0,⬇,"35,5",⬇,"7,8","3,3","10,4","1,2","57,2",48527,
Dülmen,5558016,"10,3",⬆,0,⬇,13,⬆,1,⬇,"44,3",⬇,"7,8","3,3","10,4","1,2","57,2",3786,
Düren,5358008,"4,4",⬇,"0,4",⬇,"9,5",⬇,"0,3",⬇,"70,8",⬆,"7,8","3,3","10,4","1,2","57,2",9884,
Düsseldorf,5111000,"35,6",⬆,"1,7",⬇,"4,6",⬇,"2,4",⬆,"18,6",⬇,"7,8","3,3","10,4","1,2","57,2",54284,
Eitorf,5382016,"2,1",⬇,"11,6",⬆,"20,5",⬆,"5,4",⬆,"32,8",⬇,"7,8","3,3","10,4","1,2","57,2",1831,
Emmerich am Rhein,5154008,4,⬇,3,⬇,"7,4",⬇,"3,7",⬆,"181,5",⬆,"7,8","3,3","10,4","1,2","57,2",2697,
Emsdetten,5566008,0,⬇,0,⬇,0,⬇,"2,1",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",3294,
Engelskirchen,5374008,"8,8",⬆,"4,2",⬆,"10,8",⬆,"0,2",⬇,"33,3",⬇,"7,8","3,3","10,4","1,2","57,2",1716,
Enger,5758008,"9,9",⬆,"3,2",⬇,"5,9",⬇,"4,7",⬆,"123,2",⬆,"7,8","3,3","10,4","1,2","57,2",2525,
Ennepetal,5954008,"1,5",⬇,"9,2",⬆,"22,1",⬆,"2,8",⬆,"46,3",⬇,"7,8","3,3","10,4","1,2","57,2",2262,
Ense,5974012,"11,7",⬆,"9,6",⬆,"4,9",⬇,"0,5",⬇,"59,3",⬆,"7,8","3,3","10,4","1,2","57,2",854,
Erftstadt,5362020,"0,7",⬇,2,⬇,"3,6",⬇,"0,1",⬇,"2,1",⬇,"7,8","3,3","10,4","1,2","57,2",4457,
Erkelenz,5370004,"1,7",⬇,"5,1",⬆,"13,1",⬆,"1,7",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",5182,
Erkrath,5158004,0,⬇,"4,2",⬆,"11,5",⬆,"1,5",⬆,8,⬇,"7,8","3,3","10,4","1,2","57,2",4134,
Erwitte,5974016,"0,2",⬇,"7,8",⬆,"11,2",⬆,"0,6",⬇,"54,5",⬇,"7,8","3,3","10,4","1,2","57,2",1430,
Eschweiler,5334012,"0,9",⬇,"1,4",⬇,"7,2",⬇,"0,5",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",4845,
Espelkamp,5770008,"2,9",⬇,"1,3",⬇,"21,4",⬆,"0,5",⬇,"17,7",⬇,"7,8","3,3","10,4","1,2","57,2",793,
Essen,5113000,"4,3",⬇,"1,9",⬇,"4,6",⬇,"0,2",⬇,"113,8",⬆,"7,8","3,3","10,4","1,2","57,2",53716,
Euskirchen,5366016,"3,4",⬇,"2,1",⬇,"13,2",⬆,"3,1",⬆,"131,1",⬆,"7,8","3,3","10,4","1,2","57,2",5339,
Extertal,5766028,"2,7",⬇,"1,2",⬇,"15,2",⬆,"0,2",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",930,
Frechen,5362024,0,⬇,"2,4",⬇,"13,9",⬆,"0,1",⬇,"22,4",⬇,"7,8","3,3","10,4","1,2","57,2",4335,
Freudenberg,5970016,"3,1",⬇,"9,5",⬆,7,⬇,"0,6",⬇,"21,1",⬇,"7,8","3,3","10,4","1,2","57,2",1363,
Fröndenberg/Ruhr,5978012,15,⬆,"3,1",⬇,"3,9",⬇,"2,4",⬆,"71,9",⬆,"7,8","3,3","10,4","1,2","57,2",1817,
Gangelt,5370008,"0,4",⬇,"1,7",⬇,"6,5",⬇,"6,7",⬆,"31,7",⬇,"7,8","3,3","10,4","1,2","57,2",1248,
Geilenkirchen,5370012,"4,4",⬇,0,⬇,0,⬇,"0,6",⬇,"10,3",⬇,"7,8","3,3","10,4","1,2","57,2",2194,
Gelsenkirchen,5513000,0,⬇,"17,5",⬆,"16,5",⬆,"5,4",⬆,"67,5",⬆,"7,8","3,3","10,4","1,2","57,2",28315,
Gescher,5554016,13,⬆,0,⬇,0,⬇,4,⬆,26,⬇,"7,8","3,3","10,4","1,2","57,2",1536,
Geseke,5974020,"13,4",⬆,2,⬇,"10,2",⬇,"0,3",⬇,"10,2",⬇,"7,8","3,3","10,4","1,2","57,2",2488,
Gevelsberg,5954012,"6,4",⬇,"3,2",⬇,"9,5",⬇,"0,9",⬇,54,⬇,"7,8","3,3","10,4","1,2","57,2",4444,
Gladbeck,5562014,"2,2",⬇,4,⬆,"9,1",⬇,"0,5",⬇,"73,6",⬆,"7,8","3,3","10,4","1,2","57,2",8435,
Goch,5154016,"1,3",⬇,"4,1",⬆,"13,9",⬆,1,⬇,"55,9",⬇,"7,8","3,3","10,4","1,2","57,2",2705,
Grefrath,5166008,"18,6",⬆,"1,7",⬇,"2,7",⬇,"0,6",⬇,"48,5",⬇,"7,8","3,3","10,4","1,2","57,2",927,
Greven,5566012,"3,8",⬇,"6,3",⬆,"6,4",⬇,"5,6",⬆,"70,9",⬆,"7,8","3,3","10,4","1,2","57,2",4195,
Gronau (Westf.),5554020,"21,4",⬆,"0,3",⬇,13,⬆,"2,9",⬆,"40,9",⬇,"7,8","3,3","10,4","1,2","57,2",5372,
Gummersbach,5374012,"9,5",⬆,"10,6",⬆,"17,3",⬆,"0,7",⬇,"30,3",⬇,"7,8","3,3","10,4","1,2","57,2",4910,
Haan,5158008,"5,2",⬇,"2,2",⬇,"12,9",⬆,"5,6",⬆,"169,8",⬆,"7,8","3,3","10,4","1,2","57,2",2709,
Hagen,5914000,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,"7,8","3,3","10,4","1,2","50,4",19183,
Halle (Westf.),5754012,"30,7",⬆,"2,1",⬇,"12,4",⬆,"4,6",⬆,"289,8",⬆,"7,8","3,3","10,4","1,2","57,2",1432,
Hallenberg,5958020,25,⬆,"12,5",⬆,0,⬇,4,⬆,225,⬆,"7,8","3,3","10,4","1,2","57,2",200,
Haltern am See,5562016,"9,2",⬆,"5,9",⬆,"8,6",⬇,"0,5",⬇,"26,5",⬇,"7,8","3,3","10,4","1,2","57,2",3631,
Hamm,5915000,"11,9",⬆,"2,5",⬇,"16,4",⬆,"0,1",⬇,"23,7",⬇,"7,8","3,3","10,4","1,2","57,2",18381,
Harsewinkel,5754016,"4,9",⬇,"4,9",⬆,"12,1",⬆,"0,1",⬇,"47,5",⬇,"7,8","3,3","10,4","1,2","57,2",3150,
Hattingen,5954016,"3,5",⬇,"2,7",⬇,"7,1",⬇,"0,6",⬇,"7,1",⬇,"7,8","3,3","10,4","1,2","57,2",5353,
Heek,5554024,"16,8",⬆,"1,6",⬇,"13,7",⬆,"0,4",⬇,"68,4",⬆,"7,8","3,3","10,4","1,2","57,2",950,
Heimbach,5358012,0,⬇,"0,8",⬇,0,⬇,"7,6",⬆,"56,8",⬇,"7,8","3,3","10,4","1,2","57,2",132,
Heinsberg,5370016,0,⬇,"3,1",⬇,"11,9",⬆,"4,7",⬆,"124,4",⬆,"7,8","3,3","10,4","1,2","57,2",3124,
Hellenthal,5366020,0,⬇,0,⬇,5,⬇,"3,5",⬆,"253,1",⬆,"7,8","3,3","10,4","1,2","57,2",403,
Hennef (Sieg),5382020,"7,6",⬇,"6,3",⬆,17,⬆,"5,7",⬆,115,⬆,"7,8","3,3","10,4","1,2","57,2",5559,
Herdecke,5954020,"9,1",⬆,"6,9",⬆,"4,2",⬇,"3,5",⬆,"31,4",⬇,"7,8","3,3","10,4","1,2","57,2",2066,
Herford,5758012,"2,9",⬇,"1,7",⬇,"13,3",⬆,"0,3",⬇,"67,8",⬆,"7,8","3,3","10,4","1,2","57,2",7377,
Herne,5916000,"0,2",⬇,"0,6",⬇,"8,2",⬇,1,⬇,"11,5",⬇,"7,8","3,3","10,4","1,2","57,2",15664,
Herten,5562020,"1,1",⬇,"3,3",⬇,"8,3",⬇,"0,7",⬇,"45,2",⬇,"7,8","3,3","10,4","1,2","57,2",5292,
Herzogenrath,5334016,"5,5",⬇,1,⬇,"10,7",⬆,"1,6",⬆,"64,4",⬆,"7,8","3,3","10,4","1,2","57,2",4549,
Hiddenhausen,5758016,"3,1",⬇,"4,5",⬆,"8,8",⬇,"0,2",⬇,"62,4",⬆,"7,8","3,3","10,4","1,2","57,2",1710,
Hilchenbach,5970020,"9,3",⬆,"4,7",⬆,"6,3",⬇,"0,5",⬇,"23,1",⬇,"7,8","3,3","10,4","1,2","57,2",813,
Hilden,5158016,"0,8",⬇,"6,3",⬆,"11,1",⬆,"2,4",⬆,"41,3",⬇,"7,8","3,3","10,4","1,2","57,2",4512,
Hille,5770012,"6,5",⬇,"5,1",⬆,"2,3",⬇,"1,4",⬆,"130,1",⬆,"7,8","3,3","10,4","1,2","57,2",1992,
Hopsten,5566020,"1,6",⬇,"1,2",⬇,"13,4",⬆,"6,2",⬆,"113,4",⬆,"7,8","3,3","10,4","1,2","57,2",485,
Hörstel,5566016,"15,5",⬆,"1,7",⬇,"7,2",⬇,0,⬇,"6,1",⬇,"7,8","3,3","10,4","1,2","57,2",1802,
Hövelhof,5774024,"12,9",⬆,"2,5",⬇,"11,5",⬆,"1,1",⬇,"75,9",⬆,"7,8","3,3","10,4","1,2","57,2",1423,
Höxter,5762020,"5,7",⬇,"9,3",⬆,"6,4",⬇,"1,6",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",2615,
Hückeswagen,5374016,"2,3",⬇,"8,2",⬆,"10,2",⬇,1,⬇,"39,7",⬇,"7,8","3,3","10,4","1,2","57,2",1329,
Hünxe,5170016,"3,4",⬇,"4,5",⬆,"4,1",⬇,"3,1",⬆,"164,4",⬆,"7,8","3,3","10,4","1,2","57,2",1460,
Hürtgenwald,5358016,31,⬆,0,⬇,"5,8",⬇,"5,1",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",277,
Hürth,5362028,"0,8",⬇,"4,8",⬆,"15,2",⬆,"0,6",⬇,"28,9",⬇,"7,8","3,3","10,4","1,2","57,2",6288,
Inden,5358020,"0,2",⬇,"4,3",⬆,"19,2",⬆,"0,9",⬇,"45,8",⬇,"7,8","3,3","10,4","1,2","57,2",469,
Iserlohn,5962024,"8,9",⬆,0,⬇,0,⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",9259,
Isselburg,5554032,12,⬆,"1,6",⬇,18,⬆,"0,4",⬇,100,⬆,"7,8","3,3","10,4","1,2","57,2",500,
Issum,5154020,1,⬇,8,⬆,5,⬇,"2,8",⬆,225,⬆,"7,8","3,3","10,4","1,2","57,2",400,
Jüchen,5162012,"8,7",⬆,"0,7",⬇,"6,2",⬇,0,⬇,"18,6",⬇,"7,8","3,3","10,4","1,2","57,2",2393,
Jülich,5358024,"6,7",⬇,"1,6",⬇,"17,9",⬆,"0,9",⬇,35,⬇,"7,8","3,3","10,4","1,2","57,2",2855,
Kaarst,5162016,"3,5",⬇,"2,7",⬇,"8,9",⬇,"2,4",⬆,"60,5",⬆,"7,8","3,3","10,4","1,2","57,2",4783,
Kamen,5978020,0,⬇,"13,2",⬆,"9,6",⬇,"2,4",⬆,"41,8",⬇,"7,8","3,3","10,4","1,2","57,2",4455,
Kamp-Lintfort,5170020,"2,3",⬇,5,⬆,"10,4",⬆,0,⬇,"47,3",⬇,"7,8","3,3","10,4","1,2","57,2",3270,
Kempen,5166012,"4,4",⬇,0,⬇,0,⬇,0,⬇,"22,4",⬇,"7,8","3,3","10,4","1,2","57,2",3578,
Kerpen,5362032,"0,9",⬇,"1,8",⬇,"11,5",⬆,"0,3",⬇,"1,3",⬇,"7,8","3,3","10,4","1,2","57,2",7021,
Kierspe,5962028,0,⬇,0,⬇,0,⬇,0,⬇,"15,9",⬇,"7,8","3,3","10,4","1,2","57,2",1888,
Kirchhundem,5966016,"15,6",⬆,"7,1",⬆,"22,9",⬆,2,⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",707,
Kirchlengern,5758020,106,⬆,0,⬇,"1,6",⬇,"1,7",⬆,"258,6",⬆,"7,8","3,3","10,4","1,2","57,2",580,
Kleve,5154036,"30,6",⬆,"7,8",⬆,"7,6",⬇,"6,5",⬆,"39,9",⬇,"7,8","3,3","10,4","1,2","57,2",5645,
Köln,5315000,"13,5",⬆,"0,5",⬇,"18,4",⬆,"0,3",⬇,"53,2",⬇,"7,8","3,3","10,4","1,2","57,2",99545,
Korschenbroich,5162020,"4,9",⬇,"1,3",⬇,"17,1",⬆,2,⬆,"49,9",⬇,"7,8","3,3","10,4","1,2","57,2",2857,
Kranenburg,5154040,0,⬇,9,⬆,"15,9",⬆,"0,5",⬇,"62,4",⬆,"7,8","3,3","10,4","1,2","57,2",378,
Kreuztal,5970024,"1,8",⬇,"1,7",⬇,"10,4",⬇,"0,4",⬇,"36,7",⬇,"7,8","3,3","10,4","1,2","57,2",3466,
Kürten,5378012,"16,7",⬆,10,⬆,"16,7",⬆,"0,4",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",1796,
Ladbergen,5566032,"8,7",⬆,"2,2",⬇,"10,9",⬆,"5,2",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",230,
Laer,5566036,"15,7",⬆,"0,7",⬇,"7,7",⬇,"4,7",⬆,"109,5",⬆,"7,8","3,3","10,4","1,2","57,2",274,
Lage,5766040,12,⬆,"9,2",⬆,15,⬆,"2,2",⬆,"62,3",⬆,"7,8","3,3","10,4","1,2","57,2",3211,
Langenberg,5754024,"50,9",⬆,0,⬇,"1,8",⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",715,
Langenfeld (Rhld.),5158020,"2,5",⬇,"8,7",⬆,"10,9",⬆,"1,6",⬆,"102,5",⬆,"7,8","3,3","10,4","1,2","57,2",4703,
Legden,5554036,"10,9",⬆,"4,4",⬆,"5,3",⬇,"1,3",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",450,
Lemgo,5766044,"7,5",⬇,"1,7",⬇,"12,2",⬆,"1,1",⬇,60,⬆,"7,8","3,3","10,4","1,2","57,2",3498,
Lengerich,5566040,"11,4",⬆,"1,4",⬇,"9,6",⬇,0,⬇,"76,1",⬆,"7,8","3,3","10,4","1,2","57,2",2296,
Lennestadt,5966020,"7,5",⬇,"12,3",⬆,"7,7",⬇,"1,9",⬆,"91,6",⬆,"7,8","3,3","10,4","1,2","57,2",2518,
Leopoldshöhe,5766048,"3,8",⬇,"0,9",⬇,"4,1",⬇,"0,6",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",1728,
Lichtenau,5774028,"2,9",⬇,"1,8",⬇,"6,8",⬇,"0,3",⬇,"23,6",⬇,"7,8","3,3","10,4","1,2","57,2",764,
Lindlar,5374020,"0,5",⬇,"11,8",⬆,"12,8",⬆,"0,7",⬇,"49,3",⬇,"7,8","3,3","10,4","1,2","57,2",2028,
Linnich,5358036,0,⬇,"0,5",⬇,"9,8",⬇,"0,8",⬇,"28,4",⬇,"7,8","3,3","10,4","1,2","57,2",388,
Lippstadt,5974028,"12,3",⬆,"3,9",⬆,"8,1",⬇,0,⬇,72,⬆,"7,8","3,3","10,4","1,2","57,2",6447,
Lohmar,5382028,"4,3",⬇,"4,2",⬆,15,⬆,"2,5",⬆,"159,7",⬆,"7,8","3,3","10,4","1,2","57,2",3170,
Löhne,5758024,12,⬆,"3,2",⬇,"5,3",⬇,1,⬇,"22,5",⬇,"7,8","3,3","10,4","1,2","57,2",4169,
Lübbecke,5770020,"4,9",⬇,"4,2",⬆,0,⬇,"5,5",⬆,"98,6",⬆,"7,8","3,3","10,4","1,2","57,2",2383,
Lüdenscheid,5962032,"0,9",⬇,"1,5",⬇,"5,1",⬇,"0,3",⬇,"19,6",⬇,"7,8","3,3","10,4","1,2","57,2",7150,
Lüdinghausen,5558024,"22,7",⬆,"3,8",⬆,"21,8",⬆,"2,3",⬆,"77,3",⬆,"7,8","3,3","10,4","1,2","57,2",1708,
Lügde,5766052,"10,5",⬆,"4,7",⬆,"10,5",⬆,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",759,
Lünen,5978024,"11,2",⬆,0,⬇,"18,3",⬆,"2,2",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",8808,
Marienheide,5374024,"3,1",⬇,"3,1",⬇,"8,4",⬇,0,⬇,"19,5",⬇,"7,8","3,3","10,4","1,2","57,2",1541,
Marienmünster,5762024,"63,6",⬆,17,⬆,"2,4",⬇,"8,5",⬆,"60,6",⬆,"7,8","3,3","10,4","1,2","57,2",165,
Marsberg,5958024,"0,1",⬇,"1,6",⬇,14,⬆,"2,3",⬆,"1,8",⬇,"7,8","3,3","10,4","1,2","57,2",1582,
Mechernich,5366028,"3,6",⬇,"7,4",⬆,"3,2",⬇,"2,6",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",2616,
Medebach,5958028,"7,8",⬆,"5,3",⬆,"2,3",⬇,"4,3",⬆,"129,7",⬆,"7,8","3,3","10,4","1,2","57,2",1024,
Meerbusch,5162022,0,⬇,3,⬇,"7,3",⬇,"1,1",⬇,"54,7",⬇,"7,8","3,3","10,4","1,2","57,2",5481,
Meinerzhagen,5962036,"4,5",⬇,"11,9",⬆,"6,3",⬇,"2,9",⬆,17,⬇,"7,8","3,3","10,4","1,2","57,2",1183,
Menden (Sauerland),5962040,"1,5",⬇,"2,5",⬇,"7,9",⬇,"0,6",⬇,"37,9",⬇,"7,8","3,3","10,4","1,2","57,2",4744,
Meschede,5958032,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,"7,8","3,3","10,4","1,2","50,4",2636,
Metelen,5566052,"19,4",⬆,"1,5",⬇,"1,5",⬇,"4,9",⬆,"67,7",⬆,"7,8","3,3","10,4","1,2","57,2",263,
Mettingen,5566056,"1,3",⬇,"2,5",⬇,"10,1",⬇,"0,1",⬇,"71,1",⬆,"7,8","3,3","10,4","1,2","57,2",750,
Mettmann,5158024,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,"7,8","3,3","10,4","1,2","50,4",3451,
Moers,5170024,"1,2",⬇,"1,3",⬇,"9,3",⬇,"0,5",⬇,"64,6",⬆,"7,8","3,3","10,4","1,2","57,2",10692,
Möhnesee,5974032,0,⬇,"4,5",⬆,"13,6",⬆,"0,3",⬇,keine Angaben,⬆,"7,8","3,3","10,4","1,2","57,2",780,
Mönchengladbach,5116000,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,"7,8","3,3","10,4","1,2","50,4",26374,
Monheim am Rhein,5158026,"68,3",⬆,"2,1",⬇,"15,6",⬆,"4,2",⬆,"184,3",⬆,"7,8","3,3","10,4","1,2","57,2",5021,
Monschau,5334020,0,⬇,"4,3",⬆,"7,5",⬇,"0,2",⬇,"5,2",⬇,"7,8","3,3","10,4","1,2","57,2",1095,
Morsbach,5374028,0,⬇,0,⬇,"24,6",⬆,"3,6",⬆,"38,8",⬇,"7,8","3,3","10,4","1,2","57,2",696,
Much,5382036,"3,5",⬇,"1,7",⬇,"4,7",⬇,"2,1",⬆,"35,6",⬇,"7,8","3,3","10,4","1,2","57,2",1359,
Mülheim an der Ruhr,5117000,"0,3",⬇,2,⬇,"7,4",⬇,"0,1",⬇,"17,9",⬇,"7,8","3,3","10,4","1,2","57,2",17658,
Münster,5515000,3,⬇,"2,3",⬇,"7,3",⬇,"0,1",⬇,"106,9",⬆,"7,8","3,3","10,4","1,2","57,2",25201,
Nachrodt-Wiblingwerde,5962044,0,⬇,"1,2",⬇,"30,2",⬆,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",410,
Netphen,5970032,3,⬇,"3,4",⬆,"13,5",⬆,"0,6",⬇,"20,8",⬇,"7,8","3,3","10,4","1,2","57,2",1755,
Nettetal,5166016,"6,2",⬇,"7,4",⬆,"5,4",⬇,2,⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",3800,
Neuenkirchen,5566060,"13,4",⬆,4,⬆,"17,2",⬆,"3,1",⬆,89,⬆,"7,8","3,3","10,4","1,2","57,2",1311,
Neunkirchen,5970036,"11,9",⬆,6,⬆,"5,6",⬇,2,⬆,"36,4",⬇,"7,8","3,3","10,4","1,2","57,2",1512,
Neunkirchen-Seelscheid,5382040,"9,6",⬆,"2,1",⬇,"5,3",⬇,"1,1",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",1444,
Neuss,5162024,14,⬆,"3,2",⬇,5,⬇,"0,2",⬇,"104,9",⬆,"7,8","3,3","10,4","1,2","57,2",16092,
Nideggen,5358044,0,⬇,"0,9",⬇,"12,6",⬆,"2,1",⬆,35,⬇,"7,8","3,3","10,4","1,2","57,2",572,
Nieheim,5762028,"9,8",⬆,"10,9",⬆,"25,8",⬆,"2,4",⬆,"55,2",⬇,"7,8","3,3","10,4","1,2","57,2",625,
Nordkirchen,5558028,"11,4",⬆,"3,9",⬆,"5,1",⬇,"0,9",⬇,"23,9",⬇,"7,8","3,3","10,4","1,2","57,2",1305,
Nordwalde,5566064,5,⬇,"6,5",⬆,"3,7",⬇,"0,2",⬇,"58,3",⬆,"7,8","3,3","10,4","1,2","57,2",1133,
Nottuln,5558032,"20,1",⬆,"2,9",⬇,"15,3",⬆,"0,1",⬇,"120,2",⬆,"7,8","3,3","10,4","1,2","57,2",1156,
Nümbrecht,5374032,7,⬇,"12,4",⬆,"2,6",⬇,"0,1",⬇,"177,6",⬆,"7,8","3,3","10,4","1,2","57,2",1854,
Oberhausen,5119000,"1,3",⬇,"1,8",⬇,"6,6",⬇,"0,1",⬇,"92,9",⬆,"7,8","3,3","10,4","1,2","57,2",19808,
Ochtrup,5566068,"19,2",⬆,"6,9",⬆,10,⬇,"1,5",⬆,"121,2",⬆,"7,8","3,3","10,4","1,2","57,2",2762,
Odenthal,5378020,"13,7",⬆,"8,8",⬆,"2,6",⬇,"3,3",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",1905,
Oelde,5570028,"9,8",⬆,"14,8",⬆,"2,4",⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",2868,
Oer-Erkenschwick,5562028,"3,9",⬇,"6,6",⬆,"5,4",⬇,"0,1",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",2541,
Oerlinghausen,5766056,"0,7",⬇,1,⬇,"12,5",⬆,"0,6",⬇,16,⬇,"7,8","3,3","10,4","1,2","57,2",1801,
Olfen,5558036,0,⬇,"92,7",⬆,"0,6",⬇,"5,5",⬆,"194,9",⬆,"7,8","3,3","10,4","1,2","57,2",1445,
Olpe,5966024,10,⬆,"3,5",⬆,"6,5",⬇,"1,5",⬆,"48,1",⬇,"7,8","3,3","10,4","1,2","57,2",2771,
Olsberg,5958036,"2,1",⬇,"3,3",⬇,"10,3",⬇,"5,3",⬆,"142,2",⬆,"7,8","3,3","10,4","1,2","57,2",971,
Overath,5378024,2,⬇,"1,8",⬇,"9,6",⬇,"0,4",⬇,12,⬇,"7,8","3,3","10,4","1,2","57,2",2501,
Paderborn,5774032,"11,3",⬆,"1,5",⬇,"2,4",⬇,7,⬆,"135,5",⬆,"7,8","3,3","10,4","1,2","57,2",16462,
Porta Westfalica,5770032,"0,5",⬇,"5,6",⬆,"8,3",⬇,0,⬇,"22,9",⬇,"7,8","3,3","10,4","1,2","57,2",3464,
Preußisch Oldendorf,5770036,"11,7",⬆,"2,2",⬇,"17,5",⬆,"3,1",⬆,"137,1",⬆,"7,8","3,3","10,4","1,2","57,2",852,
Radevormwald,5374036,"3,2",⬇,6,⬆,"22,4",⬆,"2,9",⬆,101,⬆,"7,8","3,3","10,4","1,2","57,2",1993,
Raesfeld,5554040,0,⬇,"8,3",⬆,"20,1",⬆,"2,2",⬆,"31,8",⬇,"7,8","3,3","10,4","1,2","57,2",770,
Rahden,5770040,"2,6",⬇,"4,5",⬆,"15,7",⬆,"1,3",⬆,"27,6",⬇,"7,8","3,3","10,4","1,2","57,2",2098,
Ratingen,5158028,"33,9",⬆,"1,9",⬇,"11,4",⬆,"0,2",⬇,"56,7",⬇,"7,8","3,3","10,4","1,2","57,2",7651,
Recklinghausen,5562032,2,⬇,5,⬆,"12,7",⬆,"0,8",⬇,"46,6",⬇,"7,8","3,3","10,4","1,2","57,2",12156,
Rees,5154044,"4,7",⬇,2,⬇,"9,1",⬇,"0,6",⬇,"118,1",⬆,"7,8","3,3","10,4","1,2","57,2",2457,
Reichshof,5374040,"5,6",⬇,0,⬇,"12,4",⬆,"2,4",⬆,"95,7",⬆,"7,8","3,3","10,4","1,2","57,2",1777,
Remscheid,5120000,4,⬇,"8,7",⬆,"10,4",⬆,"2,7",⬆,"51,6",⬇,"7,8","3,3","10,4","1,2","57,2",12286,
Rhede,5554048,"3,1",⬇,"10,6",⬆,"6,2",⬇,"2,1",⬆,"79,6",⬆,"7,8","3,3","10,4","1,2","57,2",1473,
Rheinbach,5382048,"10,5",⬆,"7,7",⬆,"11,3",⬆,"0,8",⬇,"71,9",⬆,"7,8","3,3","10,4","1,2","57,2",2794,
Rheinberg,5170032,"4,3",⬇,14,⬆,"4,7",⬇,"0,4",⬇,"90,7",⬆,"7,8","3,3","10,4","1,2","57,2",2976,
Rheine,5566076,"8,9",⬆,"1,6",⬇,"9,2",⬇,2,⬆,"82,3",⬆,"7,8","3,3","10,4","1,2","57,2",8136,
Rheurdt,5154048,"14,8",⬆,"4,9",⬆,"16,7",⬆,"2,5",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",203,
Rödinghausen,5758028,74,⬆,"0,7",⬇,"8,3",⬇,"1,7",⬆,"193,4",⬆,"7,8","3,3","10,4","1,2","57,2",1210,
Rommerskirchen,5162028,"27,4",⬆,0,⬇,"21,1",⬆,"4,4",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",475,
Rosendahl,5558040,"5,5",⬇,"5,5",⬆,"14,2",⬆,"2,5",⬆,"67,8",⬆,"7,8","3,3","10,4","1,2","57,2",811,
Ruppichteroth,5382052,"9,9",⬆,"10,8",⬆,"5,3",⬇,"0,3",⬇,"55,6",⬇,"7,8","3,3","10,4","1,2","57,2",619,
Rüthen,5974036,"14,8",⬆,"0,5",⬇,"10,2",⬇,"0,1",⬇,"60,1",⬆,"7,8","3,3","10,4","1,2","57,2",1082,
