Ort,AGS,Tablets je 100 Schüler,Aussage Tablets,Laptops je 100 Schüler,Aussage L,Desktoprechner je 100 Schüler,Aussage D,Whiteboards je 100 Schüler,Aussage W,Ausgaben je Schüler,Aussage A,Mittelwert NRW Tablets,Mittelwert NRW Laptops,Mittelwert NRW Desktop,Mittelwert NRW Whiteboards,Mittelwert NRW Ausgaben,Bemerkungen
Kalkar,5154024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Kall,5366024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Kalletal,5766036,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Kamen,5978020,0,⬇,"13,2",⬆,"9,6",⬇,"2,4",⬆,"41,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Kamp-Lintfort,5170020,"2,3",⬇,5,⬆,"10,4",⬆,0,⬇,"47,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Kempen,5166012,"4,4",⬇,0,⬇,0,⬇,0,⬇,"22,4",⬇,"7,8","3,3","10,4","1,2","57,2",
Kerken,5154028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Kerpen,5362032,"0,9",⬇,"1,8",⬇,"11,5",⬆,"0,3",⬇,"1,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Kevelaer,5154032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Kierspe,5962028,0,⬇,0,⬇,0,⬇,0,⬇,"15,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Kirchhundem,5966016,"15,6",⬆,"7,1",⬆,"22,9",⬆,2,⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Kirchlengern,5758020,106,⬆,0,⬇,"1,6",⬇,"1,7",⬆,"258,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Kleve,5154036,"30,6",⬆,"7,8",⬆,"7,6",⬇,"6,5",⬆,"39,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Köln,5315000,"13,5",⬆,"0,5",⬇,"18,4",⬆,"0,3",⬇,"53,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Königswinter,5382024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Korschenbroich,5162020,"4,9",⬇,"1,3",⬇,"17,1",⬆,2,⬆,"49,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Kranenburg,5154040,0,⬇,9,⬆,"15,9",⬆,"0,5",⬇,"62,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Krefeld,5114000,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Kreuzau,5358028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Kreuztal,5970024,"1,8",⬇,"1,7",⬇,"10,4",⬇,"0,4",⬇,"36,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Kürten,5378012,"16,7",⬆,10,⬆,"16,7",⬆,"0,4",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Ladbergen,5566032,"8,7",⬆,"2,2",⬇,"10,9",⬆,"5,2",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Laer,5566036,"15,7",⬆,"0,7",⬇,"7,7",⬇,"4,7",⬆,"109,5",⬆,"7,8","3,3","10,4","1,2","57,2",
Lage,5766040,12,⬆,"9,2",⬆,15,⬆,"2,2",⬆,"62,3",⬆,"7,8","3,3","10,4","1,2","57,2",
Langenberg,5754024,"50,9",⬆,0,⬇,"1,8",⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Langenfeld (Rhld.),5158020,"2,5",⬇,"8,7",⬆,"10,9",⬆,"1,6",⬆,"102,5",⬆,"7,8","3,3","10,4","1,2","57,2",
Langerwehe,5358032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Legden,5554036,"10,9",⬆,"4,4",⬆,"5,3",⬇,"1,3",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Leichlingen (Rhld.),5378016,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Lemgo,5766044,"7,5",⬇,"1,7",⬇,"12,2",⬆,"1,1",⬇,60,⬆,"7,8","3,3","10,4","1,2","57,2",
Lengerich,5566040,"11,4",⬆,"1,4",⬇,"9,6",⬇,0,⬇,"76,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Lennestadt,5966020,"7,5",⬇,"12,3",⬆,"7,7",⬇,"1,9",⬆,"91,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Leopoldshöhe,5766048,"3,8",⬇,"0,9",⬇,"4,1",⬇,"0,6",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Leverkusen,5316000,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Lichtenau,5774028,"2,9",⬇,"1,8",⬇,"6,8",⬇,"0,3",⬇,"23,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Lienen,5566044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Lindlar,5374020,"0,5",⬇,"11,8",⬆,"12,8",⬆,"0,7",⬇,"49,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Linnich,5358036,0,⬇,"0,5",⬇,"9,8",⬇,"0,8",⬇,"28,4",⬇,"7,8","3,3","10,4","1,2","57,2",
Lippetal,5974024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Lippstadt,5974028,"12,3",⬆,"3,9",⬆,"8,1",⬇,0,⬇,72,⬆,"7,8","3,3","10,4","1,2","57,2",
Lohmar,5382028,"4,3",⬇,"4,2",⬆,15,⬆,"2,5",⬆,"159,7",⬆,"7,8","3,3","10,4","1,2","57,2",
Löhne,5758024,12,⬆,"3,2",⬇,"5,3",⬇,1,⬇,"22,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Lotte,5566048,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Lübbecke,5770020,"4,9",⬇,"4,2",⬆,0,⬇,"5,5",⬆,"98,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Lüdenscheid,5962032,"0,9",⬇,"1,5",⬇,"5,1",⬇,"0,3",⬇,"19,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Lüdinghausen,5558024,"22,7",⬆,"3,8",⬆,"21,8",⬆,"2,3",⬆,"77,3",⬆,"7,8","3,3","10,4","1,2","57,2",
Lügde,5766052,"10,5",⬆,"4,7",⬆,"10,5",⬆,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Lünen,5978024,"11,2",⬆,0,⬇,"18,3",⬆,"2,2",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Marienheide,5374024,"3,1",⬇,"3,1",⬇,"8,4",⬇,0,⬇,"19,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Marienmünster,5762024,"63,6",⬆,17,⬆,"2,4",⬇,"8,5",⬆,"60,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Marl,5562024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Marsberg,5958024,"0,1",⬇,"1,6",⬇,14,⬆,"2,3",⬆,"1,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Mechernich,5366028,"3,6",⬇,"7,4",⬆,"3,2",⬇,"2,6",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Meckenheim,5382032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Medebach,5958028,"7,8",⬆,"5,3",⬆,"2,3",⬇,"4,3",⬆,"129,7",⬆,"7,8","3,3","10,4","1,2","57,2",
Meerbusch,5162022,0,⬇,3,⬇,"7,3",⬇,"1,1",⬇,"54,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Meinerzhagen,5962036,"4,5",⬇,"11,9",⬆,"6,3",⬇,"2,9",⬆,17,⬇,"7,8","3,3","10,4","1,2","57,2",
Menden (Sauerland),5962040,"1,5",⬇,"2,5",⬇,"7,9",⬇,"0,6",⬇,"37,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Merzenich,5358040,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Meschede,5958032,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,"7,8","3,3","10,4","1,2","50,4",
Metelen,5566052,"19,4",⬆,"1,5",⬇,"1,5",⬇,"4,9",⬆,"67,7",⬆,"7,8","3,3","10,4","1,2","57,2",
Mettingen,5566056,"1,3",⬇,"2,5",⬇,"10,1",⬇,"0,1",⬇,"71,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Mettmann,5158024,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,"7,8","3,3","10,4","1,2","50,4",
Minden,5770024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Moers,5170024,"1,2",⬇,"1,3",⬇,"9,3",⬇,"0,5",⬇,"64,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Möhnesee,5974032,0,⬇,"4,5",⬆,"13,6",⬆,"0,3",⬇,keine Angaben,⬆,"7,8","3,3","10,4","1,2","57,2",
Mönchengladbach,5116000,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,keine Angaben,,"7,8","3,3","10,4","1,2","50,4",
Monheim am Rhein,5158026,"68,3",⬆,"2,1",⬇,"15,6",⬆,"4,2",⬆,"184,3",⬆,"7,8","3,3","10,4","1,2","57,2",
Monschau,5334020,0,⬇,"4,3",⬆,"7,5",⬇,"0,2",⬇,"5,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Morsbach,5374028,0,⬇,0,⬇,"24,6",⬆,"3,6",⬆,"38,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Much,5382036,"3,5",⬇,"1,7",⬇,"4,7",⬇,"2,1",⬆,"35,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Mülheim an der Ruhr,5117000,"0,3",⬇,2,⬇,"7,4",⬇,"0,1",⬇,"17,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Münster,5515000,3,⬇,"2,3",⬇,"7,3",⬇,"0,1",⬇,"106,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Nachrodt-Wiblingwerde,5962044,0,⬇,"1,2",⬇,"30,2",⬆,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Netphen,5970032,3,⬇,"3,4",⬆,"13,5",⬆,"0,6",⬇,"20,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Nettersheim,5366032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Nettetal,5166016,"6,2",⬇,"7,4",⬆,"5,4",⬇,2,⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Neuenkirchen,5566060,"13,4",⬆,4,⬆,"17,2",⬆,"3,1",⬆,89,⬆,"7,8","3,3","10,4","1,2","57,2",
Neuenrade,5962048,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Neukirchen-Vluyn,5170028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Neunkirchen,5970036,"11,9",⬆,6,⬆,"5,6",⬇,2,⬆,"36,4",⬇,"7,8","3,3","10,4","1,2","57,2",
Neunkirchen-Seelscheid,5382040,"9,6",⬆,"2,1",⬇,"5,3",⬇,"1,1",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Neuss,5162024,14,⬆,"3,2",⬇,5,⬇,"0,2",⬇,"104,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Nideggen,5358044,0,⬇,"0,9",⬇,"12,6",⬆,"2,1",⬆,35,⬇,"7,8","3,3","10,4","1,2","57,2",
Niederkassel,5382044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Niederkrüchten,5166020,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Niederzier,5358048,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Nieheim,5762028,"9,8",⬆,"10,9",⬆,"25,8",⬆,"2,4",⬆,"55,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Nordkirchen,5558028,"11,4",⬆,"3,9",⬆,"5,1",⬇,"0,9",⬇,"23,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Nordwalde,5566064,5,⬇,"6,5",⬆,"3,7",⬇,"0,2",⬇,"58,3",⬆,"7,8","3,3","10,4","1,2","57,2",
Nörvenich,5358052,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Nottuln,5558032,"20,1",⬆,"2,9",⬇,"15,3",⬆,"0,1",⬇,"120,2",⬆,"7,8","3,3","10,4","1,2","57,2",
Nümbrecht,5374032,7,⬇,"12,4",⬆,"2,6",⬇,"0,1",⬇,"177,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Oberhausen,5119000,"1,3",⬇,"1,8",⬇,"6,6",⬇,"0,1",⬇,"92,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Ochtrup,5566068,"19,2",⬆,"6,9",⬆,10,⬇,"1,5",⬆,"121,2",⬆,"7,8","3,3","10,4","1,2","57,2",
Odenthal,5378020,"13,7",⬆,"8,8",⬆,"2,6",⬇,"3,3",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Oelde,5570028,"9,8",⬆,"14,8",⬆,"2,4",⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Oer-Erkenschwick,5562028,"3,9",⬇,"6,6",⬆,"5,4",⬇,"0,1",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Oerlinghausen,5766056,"0,7",⬇,1,⬇,"12,5",⬆,"0,6",⬇,16,⬇,"7,8","3,3","10,4","1,2","57,2",
Olfen,5558036,0,⬇,"92,7",⬆,"0,6",⬇,"5,5",⬆,"194,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Olpe,5966024,10,⬆,"3,5",⬆,"6,5",⬇,"1,5",⬆,"48,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Olsberg,5958036,"2,1",⬇,"3,3",⬇,"10,3",⬇,"5,3",⬆,"142,2",⬆,"7,8","3,3","10,4","1,2","57,2",
Ostbevern,5570032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Overath,5378024,2,⬇,"1,8",⬇,"9,6",⬇,"0,4",⬇,12,⬇,"7,8","3,3","10,4","1,2","57,2",
Paderborn,5774032,"11,3",⬆,"1,5",⬇,"2,4",⬇,7,⬆,"135,5",⬆,"7,8","3,3","10,4","1,2","57,2",
Petershagen,5770028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Plettenberg,5962052,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Porta Westfalica,5770032,"0,5",⬇,"5,6",⬆,"8,3",⬇,0,⬇,"22,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Preußisch Oldendorf,5770036,"11,7",⬆,"2,2",⬇,"17,5",⬆,"3,1",⬆,"137,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Pulheim,5362036,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Radevormwald,5374036,"3,2",⬇,6,⬆,"22,4",⬆,"2,9",⬆,101,⬆,"7,8","3,3","10,4","1,2","57,2",
Raesfeld,5554040,0,⬇,"8,3",⬆,"20,1",⬆,"2,2",⬆,"31,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Rahden,5770040,"2,6",⬇,"4,5",⬆,"15,7",⬆,"1,3",⬆,"27,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Ratingen,5158028,"33,9",⬆,"1,9",⬇,"11,4",⬆,"0,2",⬇,"56,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Recke,5566072,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Recklinghausen,5562032,2,⬇,5,⬆,"12,7",⬆,"0,8",⬇,"46,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Rees,5154044,"4,7",⬇,2,⬇,"9,1",⬇,"0,6",⬇,"118,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Reichshof,5374040,"5,6",⬇,0,⬇,"12,4",⬆,"2,4",⬆,"95,7",⬆,"7,8","3,3","10,4","1,2","57,2",
Reken,5554044,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Remscheid,5120000,4,⬇,"8,7",⬆,"10,4",⬆,"2,7",⬆,"51,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Rheda-Wiedenbrück,5754028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Rhede,5554048,"3,1",⬇,"10,6",⬆,"6,2",⬇,"2,1",⬆,"79,6",⬆,"7,8","3,3","10,4","1,2","57,2",
Rheinbach,5382048,"10,5",⬆,"7,7",⬆,"11,3",⬆,"0,8",⬇,"71,9",⬆,"7,8","3,3","10,4","1,2","57,2",
Rheinberg,5170032,"4,3",⬇,14,⬆,"4,7",⬇,"0,4",⬇,"90,7",⬆,"7,8","3,3","10,4","1,2","57,2",
Rheine,5566076,"8,9",⬆,"1,6",⬇,"9,2",⬇,2,⬆,"82,3",⬆,"7,8","3,3","10,4","1,2","57,2",
Rheurdt,5154048,"14,8",⬆,"4,9",⬆,"16,7",⬆,"2,5",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Rietberg,5754032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Rödinghausen,5758028,74,⬆,"0,7",⬇,"8,3",⬇,"1,7",⬆,"193,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Roetgen,5334024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Rommerskirchen,5162028,"27,4",⬆,0,⬇,"21,1",⬆,"4,4",⬆,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Rosendahl,5558040,"5,5",⬇,"5,5",⬆,"14,2",⬆,"2,5",⬆,"67,8",⬆,"7,8","3,3","10,4","1,2","57,2",
Rösrath,5378028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Ruppichteroth,5382052,"9,9",⬆,"10,8",⬆,"5,3",⬇,"0,3",⬇,"55,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Rüthen,5974036,"14,8",⬆,"0,5",⬇,"10,2",⬇,"0,1",⬇,"60,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Saerbeck,5566080,"11,2",⬆,"0,3",⬇,"6,5",⬇,"0,5",⬇,"26,9",⬇,"7,8","3,3","10,4","1,2","57,2",
Salzkotten,5774036,"11,5",⬆,"1,5",⬇,"11,8",⬆,3,⬆,"49,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Sankt Augustin,5382056,4,⬇,0,⬇,0,⬇,"0,5",⬇,"24,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Sassenberg,5570036,"2,3",⬇,"4,1",⬆,18,⬆,"0,1",⬇,"6,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Schalksmühle,5962056,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Schermbeck,5170036,0,⬇,"0,5",⬇,"9,2",⬇,"0,4",⬇,"67,4",⬆,"7,8","3,3","10,4","1,2","57,2",
Schieder-Schwalenberg,5766060,"9,9",⬆,"0,7",⬇,"10,6",⬆,"1,8",⬆,"42,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Schlangen,5766064,"41,1",⬆,1,⬇,"16,2",⬆,0,⬇,"22,3",⬇,"7,8","3,3","10,4","1,2","57,2",
Schleiden,5366036,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Schloß Holte-Stukenbrock,5754036,"5,4",⬇,"10,8",⬆,0,⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Schmallenberg,5958040,"4,7",⬇,"1,8",⬇,"13,3",⬆,"0,7",⬇,"56,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Schöppingen,5554052,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Schwalmtal,5166024,"0,6",⬇,"1,2",⬇,"7,9",⬇,"1,1",⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Schwelm,5954024,"10,3",⬆,"0,6",⬇,"11,6",⬆,"0,6",⬇,20,⬇,"7,8","3,3","10,4","1,2","57,2",
Schwerte,5978028,"2,5",⬇,"3,4",⬆,"13,2",⬆,"0,5",⬇,"33,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Selfkant,5370024,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Selm,5978032,"15,6",⬆,"3,6",⬆,"6,6",⬇,"0,3",⬇,"23,5",⬇,"7,8","3,3","10,4","1,2","57,2",
Senden,5558044,"9,8",⬆,"0,3",⬇,"11,6",⬆,"1,4",⬆,"32,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Sendenhorst,5570040,"4,5",⬇,"0,8",⬇,10,⬇,"0,9",⬇,"9,2",⬇,"7,8","3,3","10,4","1,2","57,2",
Siegburg,5382060,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Siegen,5970040,"1,2",⬇,"2,4",⬇,"6,4",⬇,"0,1",⬇,"11,6",⬇,"7,8","3,3","10,4","1,2","57,2",
Simmerath,5334028,"0,2",⬇,"7,8",⬆,10,⬇,0,⬇,"5,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Soest,5974040,"16,5",⬆,"2,1",⬇,"9,9",⬇,"0,6",⬇,"32,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Solingen,5122000,"5,8",⬇,"5,7",⬆,"13,4",⬆,"0,8",⬇,"36,8",⬇,"7,8","3,3","10,4","1,2","57,2",
Sonsbeck,5170040,"0,7",⬇,"4,3",⬆,"9,9",⬇,0,⬇,keine Angaben,,"7,8","3,3","10,4","1,2","57,2",
Spenge,5758032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Sprockhövel,5954028,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Stadtlohn,5554056,"12,4",⬆,"5,9",⬆,"12,7",⬆,"0,6",⬇,"87,1",⬆,"7,8","3,3","10,4","1,2","57,2",
Steinfurt,5566084,5,⬇,4,⬆,"4,9",⬇,"0,9",⬇,"44,1",⬇,"7,8","3,3","10,4","1,2","57,2",
Steinhagen,5754040,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Steinheim,5762032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
Stemwede,5770044,"33,7",⬆,"5,4",⬆,0,⬇,0,⬇,"33,7",⬇,"7,8","3,3","10,4","1,2","57,2",
Stolberg (Rhld.),5334032,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Teilnahme an der Abfrage
